date,origin,destination,currency_code,minimum_price,first_quartile_price,median_price,third_quartile_price,maximum_price,EURMXN=X_Close,EURTRY=X_Close,EURUSD=X_Close
2019-07-05,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.445600509643555,6.314320087432861,1.128579020500183
2019-07-06,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,,,
2019-07-07,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,,,
2019-07-08,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.339000701904297,6.4467902183532715,1.1227376461029053
2019-07-09,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.23430061340332,6.4268598556518555,1.121604323387146
2019-07-10,,,,,,,,,21.468700408935547,6.415380001068115,1.120824933052063
2019-07-11,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.548900604248047,6.400199890136719,1.125885248184204
2019-07-12,,,,,,,,,21.450700759887695,6.398829936981201,1.1252391338348389
2019-07-13,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,,,
2019-07-14,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,,,
2019-07-15,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.401100158691406,6.452199935913086,1.1272051334381104
2019-07-16,,,,,,,,,21.370800018310547,6.42671012878418,1.1261768341064453
2019-07-17,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.41550064086914,6.406700134277344,1.1212271451950073
2019-07-18,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.412410736083984,6.387899875640869,1.12296462059021
2019-07-19,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.360599517822266,6.326990127563477,1.1261515617370605
2019-07-20,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,,,
2019-07-21,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,,,
2019-07-22,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.341299057006836,6.335080146789551,1.1218308210372925
2019-07-23,,,,,,,,,21.34830093383789,6.351960182189941,1.1206114292144775
2019-07-24,,,,,,,,,21.387699127197266,6.375609874725342,1.1151255369186401
2019-07-25,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.24880027770996,6.3608198165893555,1.1142433881759644
2019-07-26,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.205299377441406,6.350830078125,1.1146159172058105
2019-07-27,,,,,,,,,,,
2019-07-28,,,,,,,,,,,
2019-07-29,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.18079948425293,6.294119834899902,1.1132138967514038
2019-07-30,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.236400604248047,6.2565999031066895,1.1143054962158203
2019-07-31,MAD,IST,USD,101.22,505.06,580.92,581.07,590.95,21.273500442504883,6.199749946594238,1.1157974004745483
2019-08-01,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.20050048828125,6.172420024871826,1.1071745157241821
2019-08-02,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.293399810791016,6.204110145568848,1.1078859567642212
2019-08-03,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-04,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-05,,,,,,,,,21.479799270629883,6.162469863891602,1.1108025312423706
2019-08-06,,,,,,,,,22.137800216674805,6.281869888305664,1.1243788003921509
2019-08-07,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.95764923095703,6.195950031280518,1.1206992864608765
2019-08-08,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,22.00860023498535,6.148799896240234,1.1204355955123901
2019-08-09,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.73259925842285,6.1314802169799805,1.1187183856964111
2019-08-10,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-11,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-12,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.77120018005371,6.149449825286865,1.1208499670028687
2019-08-13,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.966020584106445,6.236599922180176,1.1218308210372925
2019-08-14,,,,,,,,,21.65959930419922,6.2220001220703125,1.1177055835723877
2019-08-15,,,,,,,,,21.90019989013672,6.250490188598633,1.1143302917480469
2019-08-16,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.786300659179688,6.1844401359558105,1.1113580465316772
2019-08-17,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-18,,,,,,,,,,,
2019-08-19,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.77669906616211,6.190639972686768,1.109385371208191
2019-08-20,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,22.022600173950195,6.258729934692383,1.1083157062530518
2019-08-21,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.92889976501465,6.356969833374023,1.1097793579101562
2019-08-22,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.82965087890625,6.355649948120117,1.10907781124115
2019-08-23,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,21.958599090576172,6.391630172729492,1.1084016561508179
2019-08-24,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-25,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-08-26,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,22.301300048828125,6.488170146942139,1.1143054962158203
2019-08-27,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,22.130449295043945,6.470749855041504,1.1103708744049072
2019-08-28,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,22.16160011291504,6.46196985244751,1.109004020690918
2019-08-29,,,,,,,,,22.33930015563965,6.451690196990967,1.1085859537124634
2019-08-30,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,22.266199111938477,6.448840141296387,1.1061947345733643
2019-08-31,MAD,IST,USD,101.17,519.01,557.46,583.15,587.83,,,
2019-09-01,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,,,
2019-09-02,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,22.095399856567383,6.412199974060059,1.0991789102554321
2019-09-03,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,22.065670013427734,6.367099761962891,1.0968520641326904
2019-09-04,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.91469955444336,6.2790398597717285,1.0974539518356323
2019-09-05,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.736000061035156,6.25846004486084,1.10349702835083
2019-09-06,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.755369186401367,6.278870105743408,1.1036310195922852
2019-09-07,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,,,
2019-09-08,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,,,
2019-09-09,,,,,,,,,21.534099578857422,6.288010120391846,1.1020619869232178
2019-09-10,,,,,,,,,21.618200302124023,6.3429999351501465,1.1048381328582764
2019-09-11,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.55150032043457,6.372270107269287,1.1050333976745605
2019-09-12,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.47410011291504,6.329689979553223,1.1013457775115967
2019-09-13,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.48179054260254,6.258570194244385,1.1058276891708374
2019-09-14,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,,,
2019-09-15,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,,,
2019-09-16,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.511199951171875,6.34581995010376,1.1083402633666992
2019-09-17,,,,,,,,,21.383899688720703,6.300779819488525,1.100594401359558
2019-09-18,,,,,,,,,21.445070266723633,6.313799858093262,1.1074687242507935
2019-09-19,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.40559959411621,6.260769844055176,1.1031439304351807
2019-09-20,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,21.473600387573242,6.3125901222229,1.1048502922058105
2019-09-21,MAD,IST,USD,97.52,457.09,494.46,535.06,584.2,,,
